package,version,filename,sha256
argyll,2.3.1+repack-1.1+b1,pool/main/a/argyll/argyll_2.3.1+repack-1.1+b1_amd64.deb,6f742d91f17ebd89b5147cd6ea13aa04a331cd7be485f0b12966dadf30de56d6
arm-trusted-firmware-tools,2.8.0+dfsg-1,pool/main/a/arm-trusted-firmware/arm-trusted-firmware-tools_2.8.0+dfsg-1_amd64.deb,7331cec450d13bc3b00c358af7d5b853b934041edbbae753346f68b2f6d0b25e
barnowl,1.10-2+b4,pool/main/b/barnowl/barnowl_1.10-2+b4_amd64.deb,0da3152e95ee8b13b471a432cb6c618a8744c14ab5bd2a8c2d306ba8a38fb609
borgbackup2,2.0.0b5-1,pool/main/b/borgbackup2/borgbackup2_2.0.0b5-1_amd64.deb,3c64650018870b1eeac94955e06f4d23344e74b07edfeacf36e4045b42f870d2
btfs,2.24-1+b2,pool/main/b/btfs/btfs_2.24-1+b2_amd64.deb,079dc2c7cfa3f5d612848844e7455f818901dedea7af4c332ad11e76ddd1a8dd
cairo-dock-weather-plug-in,3.4.1+git20201022.a0d3415c-1+b1,pool/main/c/cairo-dock-plug-ins/cairo-dock-weather-plug-in_3.4.1+git20201022.a0d3415c-1+b1_amd64.deb,0b9b1ee7c810c67f40f9e7d76fc8a8610ccea61c13e1654d23ee4db7667eac35
carbon-c-relay,3.7.3-2+b2,pool/main/c/carbon-c-relay/carbon-c-relay_3.7.3-2+b2_amd64.deb,3797c9bfd36fac2423f7dc9b8ff23cef50d84384a4b87546a6a3c57f895861f8
cargo-web,1.78.0+dfsg1-2~deb12u3,pool/main/r/rustc-web/cargo-web_1.78.0+dfsg1-2~deb12u3_amd64.deb,cfc4823c86797d67462817e596b461eb7f775714c9212d091c1948747a901710
ceph-osd,16.2.11+ds-2,pool/main/c/ceph/ceph-osd_16.2.11+ds-2_amd64.deb,06b76becb4e6e9a8864bd573946dbfcae76b7b8b4e7951b6e854b98ce7f4ec40
ckermit,402~beta08-1,pool/main/c/ckermit/ckermit_402~beta08-1_amd64.deb,04fbda2dba918366510cde77ba4d3b38bf27b4c899fc95550b07a218b58551dc
cl-plus-ssl,20220328.git8b91648-4,pool/main/c/cl-plus-ssl/cl-plus-ssl_20220328.git8b91648-4_all.deb,a962237cf4d67b1d0925cc701b8198a5d56cd96a0ba40b182f3402586b16db81
dmg2img,1.6.7-1+b2,pool/main/d/dmg2img/dmg2img_1.6.7-1+b2_amd64.deb,29d6301eb4cce6352b5482e538ac81b1461f0c6d07bd67abcd8b1d3fd4d7d09d
dnssec-trigger,0.17+repack-5.1,pool/main/d/dnssec-trigger/dnssec-trigger_0.17+repack-5.1_amd64.deb,f9c43d054f16aba4927331581acecda90ddc03ddc8c1b1cce2a579f004efe053
eggdrop,1.8.4+repack1-0.1,pool/main/e/eggdrop/eggdrop_1.8.4+repack1-0.1_amd64.deb,a3fa8f7db2e654e6192c062248498f9585f872482aabf3f2cbdcca205c7fc997
erlang-crypto,1:25.2.3+dfsg-1,pool/main/e/erlang/erlang-crypto_25.2.3+dfsg-1_amd64.deb,eac942ddc786967d8db28554fc6912617257ee8d7bb1bc7b6ea6bdefe3fb09b3
fossil,1:2.21-1,pool/main/f/fossil/fossil_2.21-1_amd64.deb,4daccef9a0985feacde90f56b4989a32603aaca563e799d35619d8180fa59d07
freeradius,3.2.1+dfsg-4+deb12u1,pool/main/f/freeradius/freeradius_3.2.1+dfsg-4+deb12u1_amd64.deb,be127bbe63df6c9ae878da2a940c300dcc2af1c003ec489dd73e9461108d8565
glirc,2.39.0.1-1,pool/main/g/glirc/glirc_2.39.0.1-1_amd64.deb,82a4dfb4b44ef1436730ae97dc4f15074c9bd58665afc94628d4c0fa20b1c5e9
gnubiff,2.2.17-4+b1,pool/main/g/gnubiff/gnubiff_2.2.17-4+b1_amd64.deb,94ba55e797f294295ed5cf1419e465bb509e97e7912eb19a24f1567242793d83
gsocket,1.4.39-1,pool/main/g/gsocket/gsocket_1.4.39-1_amd64.deb,7f626ef34f2194fc08de322846d184c046422d19b4cc65862f59396a48d831dc
gstreamer1.0-plugins-bad,1.22.0-4+deb12u5,pool/main/g/gst-plugins-bad1.0/gstreamer1.0-plugins-bad_1.22.0-4+deb12u5_amd64.deb,3f2cf70b1df49a8a2ad2cac33f76ac0621d7b9a13d26bfc9311161efe73334d1
hitch,1.7.2-1+b1,pool/main/h/hitch/hitch_1.7.2-1+b1_amd64.deb,40892b0dc3805517a4ead8c06c7f40aab610cd5d297e4045ccfe59f2e1cab0a0
