package,version,elf_count,a_verdict,a_missing,b_verdict,b_detail,agreement
argyll,2.3.1+repack-1.1+b1,4,cleared,,compat,,agree
arm-trusted-firmware-tools,2.8.0+dfsg-1,2,cleared,,compat,,agree
barnowl,1.10-2+b4,1,cleared,,compat,,agree
borgbackup2,2.0.0b5-1,1,cleared,,compat,,agree
btfs,2.24-1+b2,1,cleared,,compat,,agree
cairo-dock-weather-plug-in,3.4.1+git20201022.a0d3415c-1+b1,1,cleared,,compat,,agree
carbon-c-relay,3.7.3-2+b2,1,cleared,,compat,,agree
cargo-web,1.78.0+dfsg1-2~deb12u3,1,cleared,,compat,,agree
ceph-osd,16.2.11+ds-2,3,cleared,,compat,,agree
ckermit,402~beta08-1,1,cleared,,compat,,agree
cl-plus-ssl,20220328.git8b91648-4,0,no-elf,,no-elf,,n/a
dmg2img,1.6.7-1+b2,1,cleared,,compat,,agree
dnssec-trigger,0.17+repack-5.1,3,cleared,,compat,,agree
eggdrop,1.8.4+repack1-0.1,1,cleared,,compat,,agree
erlang-crypto,1:25.2.3+dfsg-1,2,cleared,,compat,,agree
fossil,1:2.21-1,1,cleared,,compat,,agree
freeradius,3.2.1+dfsg-4+deb12u1,2,cleared,,compat,,agree
glirc,2.39.0.1-1,1,cleared,,compat,,agree
gnubiff,2.2.17-4+b1,1,cleared,,compat,,agree
gsocket,1.4.39-1,2,cleared,,compat,,agree
gstreamer1.0-plugins-bad,1.22.0-4+deb12u5,2,cleared,,compat,,agree
hitch,1.7.2-1+b1,1,cleared,,compat,,agree
icinga2-bin,2.13.6-2+deb12u1,2,cleared,,compat,,agree
idevicerestore,1.0.0-3+b1,1,cleared,,compat,,agree
ike-scan,1.9.5-1+b1,2,cleared,,compat,,agree
istgt,0.4~20111008-4+b1,2,cleared,,compat,,agree
jami-daemon,20230206.0~ds2-1.1,1,cleared,,compat,,agree
kea-ctrl-agent,2.2.0-6,1,cleared,,compat,,agree
libcaf-openssl0.17,0.17.6-2.1+b1,1,cleared,,compat,,agree
libcjose0,0.6.2.1-1+deb12u1,1,cleared,,compat,,agree
libcpp-httplib0.11,0.11.4+ds-1+deb12u1,1,cleared,,compat,,agree
libcrypt-openssl-bignum-perl,0.09-2+b1,1,cleared,,compat,,agree
libcyrus-imap-perl,3.6.1-4+deb12u3,2,cleared,,compat,,agree
libeiskaltdcpp2.4,2.4.2-1+b2,1,cleared,,compat,,agree
libesmtp6,1.1.0-3.1~deb12u1,3,cleared,,compat,,agree
libfalcosecurity0,0.1.1dev+git20220316.e5c53d64-5.1,1,cleared,,compat,,agree
libglobus-ftp-client2,9.8-2,1,cleared,,compat,,agree
libglobus-gsi-credential1,8.3-2,1,cleared,,compat,,agree
libglobus-gsi-sysconfig1,9.5-2,1,cleared,,compat,,agree
libglobus-gssapi-gsi4,14.20-2,1,cleared,,compat,,agree
libglobus-openssl-module0,5.2-2,1,cleared,,compat,,agree
libiperf0,3.12-1+deb12u1,1,cleared,,compat,,agree
libnvme1,1.3-1+deb12u1,1,cleared,,compat,,agree
libpam-barada,0.5-3.2+b1,2,cleared,,compat,,agree
libpam-u2f,1.1.0-1.1+b1,1,cleared,,compat,,agree
libpromises3,3.21.0-2,1,cleared,,compat,,agree
libquickfix17,1.15.1+dfsg-4+b1,1,cleared,,compat,,agree
libradsec0,0.0.5-5+b3,1,cleared,,compat,,agree
librepo0,1.14.5-3,1,cleared,,compat,,agree
librte-common-qat23,22.11.5-1~deb12u1,1,cleared,,compat,,agree
libsasl2-modules,2.1.28+dfsg-10,3,cleared,,compat,,agree
libserf-1-1,1.3.9-11,1,cleared,,compat,,agree
libsofia-sip-ua0,1.12.11+20110422.1+1e14eea~dfsg-6,1,cleared,,compat,,agree
libsofthsm2,2.6.1-2.1,1,cleared,,compat,,agree
libssl-dev,3.0.14-1~deb12u1,0,no-elf,,no-elf,,n/a
libstrongswan-standard-plugins,5.9.8-5+deb12u1,1,cleared,,compat,,agree
libsylph1,1.1.0-21+b1,1,cleared,,compat,,agree
libtins4.0,4.0-1+b2,1,cleared,,compat,,agree
libveyon-core,4.7.5+repack1-1,1,cleared,,compat,,agree
libxlsxwriter4,1.1.4-2+b1,1,cleared,,compat,,agree
libyara9,4.2.3-4,1,cleared,,compat,,agree
macopix,3.4.0+dfsg.1-3+b1,1,cleared,,compat,,agree
medusa,2.2-7+b1,7,cleared,,compat,,agree
mold,1.10.1+dfsg-1,1,cleared,,compat,,agree
netsurf-fb,3.10-1+b3,1,cleared,,compat,,agree
netsurf-gtk,3.10-1+b3,1,cleared,,compat,,agree
nginx,1.22.1-9,1,cleared,,compat,,agree
nsca-ng-server,1.6-6,1,cleared,,compat,,agree
opa-address-resolution,10.10.3.0.11-1+b1,5,cleared,,compat,,agree
opa-fastfabric,10.10.3.0.11-1+b1,13,cleared,,compat,,agree
opencryptoki,3.8.1+dfsg-3.2+b3,3,cleared,,compat,,agree
openvswitch-switch,3.1.0-2+deb12u1,3,cleared,,compat,,agree
ophcrack,3.8.0-3+b1,1,cleared,,compat,,agree
orthanc-wsi,1.1-4+b6,1,cleared,,compat,,agree
ovn-common,23.03.1-1~deb12u2,6,cleared,,compat,,agree
passenger,6.0.17+ds-1,1,cleared,,compat,,agree
pen,0.34.1-2+b1,1,cleared,,compat,,agree
performous,1.1+git20181118-6,1,cleared,,compat,,agree
pgloader,3.6.9-1,0,no-elf,,no-elf,,n/a
pinot,1.21-1+b1,4,cleared,,compat,,agree
poedit,3.2.2-1+b2,1,cleared,,compat,,agree
ppp,2.4.9-1+1.1+b1,1,cleared,,compat,,agree
qbittorrent,4.5.2-3+deb12u1,1,cleared,,compat,,agree
r-cran-openssl,2.0.5+dfsg-1,1,cleared,,compat,,agree
radosgw,16.2.11+ds-2,3,cleared,,compat,,agree
rpki-client,8.2-2+b1,1,cleared,,compat,,agree
rspamd,3.4-1,2,cleared,,compat,,agree
rsync,3.2.7-1,1,cleared,,compat,,agree
rtpengine-recording-daemon,10.5.3.5-1,1,cleared,,compat,,agree
sendmail-bin,8.17.1.9-2+deb12u2,1,cleared,,compat,,agree
shairport-sync,3.3.8-1+b2,1,cleared,,compat,,agree
slowhttptest,1.8.2-1+b1,1,cleared,,compat,,agree
sogo,5.8.0-1,3,cleared,,compat,,agree
sslsplit,0.5.5-2.1,1,cleared,,compat,,agree
swtpm-libs,0.7.1-1.3,1,cleared,,compat,,agree
syslog-ng-mod-sql,3.38.1-5,1,cleared,,compat,,agree
tf5,5.0beta8-10+b1,1,cleared,,compat,,agree
transmission-daemon,3.00-2.1+deb12u1,1,cleared,,compat,,agree
tss2,1045-2,17,cleared,,compat,,agree
unbound-host,1.17.1-2+deb12u2,1,cleared,,compat,,agree
